Section,Domain,Status,In WHMCS,In Cloudflare,In WPMUDEV,Server In Use,Old Server Abandoned?,Notes,Cloudflare IP,Is In Cloudflare,Repo URL,Site Health,Priority,Repo Archived,Last PR Closed,Open PRs,Last Commit,Dev Status,Left FFC,Host Category,Is Staging,Domain Age,Expiry,Recurring,Work Tier,Migration Score,Maintenance Score,Dev Score
Unknown,aariasblueelephant.org,Pending,Yes,Yes,No,,,,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FreeForCharity/FFC-EX-aariasblueelephant.org,Live,Standard,,,,,None,,GitHub Pages,,0.4,0000-00-00,0.00,5 - Needs Triage,0,63,25
Unknown,amargraves.org,Active,Yes,Yes,No,,,,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FreeForCharity/FFC-EX-amargraves.org,Live,Standard,,,,,None,,GitHub Pages,,2.5,2027-01-15,0.00,5 - Needs Triage,0,66,10
Unknown,americanlegionpost64.org,Active,Yes,No,Yes,,,,(no A record),No,https://github.com/FreeForCharity/FFC-EX-americanlegionpost64.org,Error,Standard,,,,,None,,Unresolved/Parked,,2.9,2026-08-29,0.00,5 - Needs Triage,37,0,18
Unknown,americanlegionpost64.com,Active,Yes,No,No,,,,(no A record),No,,Redirect,Standard,,,,,None,,Unresolved/Parked,,1.9,2026-10-25,0.00,5 - Needs Triage,29,30,0
Unknown,amplifiedaid.org,Active,Yes,No,Yes,,,,(no A record),No,,Error,Standard,,,,,None,,Unresolved/Parked,,1.4,2027-03-01,0.00,5 - Needs Triage,29,0,23
For-Profit,aprilunlimited.com,Active,Yes,Yes,Yes,,,,216.222.200.253,Yes,,Live,Standard,,,,,None,,Other-external,,9.6,2026-12-24,13.50,5 - Needs Triage,76,57,0
Unknown,avengedfastpitch.org,Active,Yes,No,Yes,,,,(no A record),No,,Live,Standard,,,,,None,,Unresolved/Parked,,1.0,2027-07-25,0.00,5 - Needs Triage,46,36,15
Unknown,bearupinternationalministries.org,Active,Yes,Yes,No,,,,185.199.111.153;185.199.110.153;185.199.109.153;185.199.108.153,Yes,https://github.com/FreeForCharity/FFC-EX-bearupinternationalministries.org,Live,Standard,,,,,None,,GitHub Pages,,0.1,2027-05-29,0.00,5 - Needs Triage,0,62,25
Unknown,bhakthinivedana.com/sandbox,Unknown,No,No,No,,,,(no A record),No,,Redirect,Standard,,,,,None,,Unresolved/Parked,,,,,5 - Needs Triage,22,27,0
Unknown,birthfree.org,Active,Yes,Yes,No,,,,172.67.181.220;104.21.18.132,Yes,,Error,Standard,,,,,None,,Cloudflare Proxy,,9.0,2027-07-16,0.00,5 - Needs Triage,41,0,8
